name,url,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
新辣道鱼火锅(翠微凯德MALL店) 分店,/shop/4096465,火锅,海淀区翠微路5号凯德MALL购物中心3楼301室 88633705,鱼火锅 公主坟/万寿路,梭边鱼 蔬菜吧 冬瓜仙草露,83,8.6,8.6,8.4,352,116.30969,39.91881
山城辣妹子重庆菜 分店,/shop/572651,川菜,朝阳区甘露园2区南里商业街商业楼1号 85778689,川菜 十里堡,毛血旺 麻辣香锅 水煮鱼,57,8.3,8.3,8.3,352,116.52422,39.92252
大顺斋(牛街店) 分店,/shop/2103739,小吃快餐,西城区牛街5号牛街清真超市内 89522445,老北京小吃 面包西点 牛街,糖火烧 糖卷果 牛舌饼,14,8,6.3,6.5,352,116.36985,39.89312
船工号子(八角店) 分店,/shop/514303,川菜,石景山区八角西街46号 68834523,川菜 婚宴酒店 古城/八角,水煮鱼 香辣鱼 毛血旺,63,7.2,7.4,6.8,352,116.20502,39.91896
潮汕牛肉丸火锅,/shop/1939924,火锅,朝阳区团结湖北二条3号楼 65824321,其他火锅 朝阳公园/团结湖,牛肉丸 牛筋丸 炸腐竹,59,8.2,6,6.7,352,116.47124,39.938995
鸭王烤鸭店(紫云阁店) 分店,/shop/510756,北京菜,海淀区海淀南路28号 62536869,烤鸭 中关村,烤鸭 盐水鸭肝 火燎鸭心,133,7,6.7,6.4,351,116.314644,39.981384
麻辣精灵(方庄店),/shop/6295908,川菜,丰台区蒲黄榆地铁站C口 67633079,川菜 方庄,水煮鱼 毛血旺 黄豆焖猪手,56,8.5,8.3,8.3,351,116.4249,39.871162
德川家日本料理(亚运村总店) 分店,/shop/510962,日本,朝阳区亚运村安慧里一区26号 64962739,日式自助 亚运村,烤鳗鱼 生鱼片 三文鱼,169,7.4,7.7,7.6,351,116.42148,39.997864
玉林烤鸭店(玉林总店) 分店,/shop/513227,北京菜,丰台区右安门外玉林小区二条 63291202,烤鸭 婚宴酒店 开阳里,烤鸭 宫爆鸡丁 大拌菜,56,8,6.7,7.3,350,116.36629,39.872425
小肥羊(朝外店) 分店,/shop/3586159,火锅,朝阳区朝阳门外大街19号华普国际大厦3楼西侧 65802590,其他火锅 朝外大街,羊肉 鸳鸯锅底 宽粉,80,8.2,8,7.8,350,116.44449,39.930584
天山雪莲食府,/shop/5393369,新疆菜,西城区南线阁街甲35号 52880889,新疆菜 广内大街,酸奶 羊肉串 大盘鸡,46,8.6,8.4,8.6,350,116.359856,39.89212
三四郎日本料理,/shop/508560,日本,朝阳区东三环北路甲28号 65069625,日式自助 亮马桥/三元桥,三文鱼 烤鳗鱼 松茸汤,242,7.4,8,7.6,350,116.468735,39.932457
瑞宾楼(丰台店) 分店,/shop/510324,小吃快餐,丰台区赵公口7号楼 87263302,老北京小吃 洋桥/木樨园,褡裢火烧 三鲜馅的褡裢火烧 猪肉大葱褡裢火烧,40,8,6.5,6.5,350,116.419914,39.8616
嘉和一品粥(中关村店) 分店,/shop/1916809,小吃快餐,海淀区海淀大街甲36号 62553676,粥店 中关村,皮蛋瘦肉粥 一品粥 扁豆焖面,26,7.4,7.1,6.7,350,116.31382,39.988247
汉丽轩烤肉超市(上地店) 分店,/shop/4290577,自助餐,海淀区上地三街1号中黎科技园1楼 62970806,自助餐 韩国料理 上地,培根 五花肉 水果,48,7.1,7,7.2,350,116.3208,40.043575
盐府逸栈(大望路店) 分店,/shop/2878423,川菜,朝阳区光华路4号东方梅地亚中心B座三楼 65836277,川菜 婚宴酒店 大望路 国贸,椒子肥牛 青椒鱼 逸栈米耙,82,8.5,8.4,8.4,349,116.479866,39.918484
品尚豆捞,/shop/3669088,火锅,朝阳区大屯北路312号金泉美食宫7号大堂2楼 84855966,其他火锅 亚运村,虾滑 蟹黄蟹子丸 肥牛,77,7,8.1,7.2,349,116.41866,40.01233
呱呱呷鲜瓜火锅(东直门店) 分店,/shop/6303646,火锅,东城区东直门内大街205号 64014910,其他火锅 东直门,清远鸡 虾面 土豆泥,58,9,8.8,9,349,116.42773,39.9473
金源福城肥牛(畅春园店) 分店,/shop/3153529,火锅,海淀区颐和园路8号畅春园食街A11A号 62633988,其他火锅 中关村,肥牛 羊肉 酸梅汤,54,7.8,7.7,7.6,348,116.31127,39.99473
