海底捞火锅(牡丹园店) 分店,/shop/515381,火锅,海淀区花园东路2号 62033112,其他火锅 北太平庄,滑牛肉 一根面 海底捞牛肉,83,8.6,8.2,9.3,21429
麻辣诱惑(君太店) 分店,/shop/516112,川菜,西城区西单北大街133号君太百货7楼 82656688,川菜 西单,水煮鱼 毛血旺 酸梅汤,79,8.3,8.4,8.2,21071
稻香村 分店,/shop/510654,小吃快餐,多家营业部 84043305,老北京小吃 食品茶酒,牛舌饼 萨其马 枣糕,28,9,7.7,7.9,18445
西单翅酷(西单店),/shop/562817,小吃快餐,西城区西单图书大厦东侧钟声胡同15号 66032605,烧烤 西单,微辣鸡翅 原味鸡翅 烤馒头,49,7.5,4.4,4.9,17008
金钱豹国际美食百汇(王府井店) 分店,/shop/584865,自助餐,东城区东安门大街55号王府世纪大厦2楼 65598888,自助餐 婚宴酒店 王府井/东单,三文鱼 提拉米苏 烤鳗鱼,209,7.4,7.7,7.6,16950
金钱豹国际美食百汇(王府井店) 分店,/shop/584865,海鲜,东城区东安门大街55号王府世纪大厦2楼 65598888,自助餐 婚宴酒店 王府井/东单,三文鱼 提拉米苏 烤鳗鱼,209,7.4,7.7,7.6,16950
海底捞火锅(西单店) 分店,/shop/2114887,火锅,西城区西单北大街109号西单婚庆大楼7楼 66174063,其他火锅 西单,滑牛肉 鸳鸯锅底 鸭血,87,8.6,8.4,9.3,16868
文宇奶酪店,/shop/513701,小吃快餐,东城区南锣鼓巷49号 ,老北京小吃 地安门,红豆双皮奶 原味奶酪 双皮奶,14,8.4,6.8,7.3,14413
川京办餐厅,/shop/510880,川菜,东城区建国门内大街贡院西街头条5号 65122277-6101,川菜 婚宴酒店 建国门/北京站,口水鸡 毛血旺 川北凉粉,66,8.5,6.7,6.4,13637
九门小吃,/shop/1924552,小吃快餐,西城区德内大街孝友胡同1号 ,老北京小吃 什刹海,爆肚 奶酪魏 卤煮,48,6.1,6,5,10928
