name,url,id,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
便宜坊烤鸭店(朝阳大悦城店) 分店,/shop/4062931,4062931,北京菜,朝阳区朝阳北路101号朝阳大悦城7楼08号 85914058,烤鸭 十里堡,烤鸭 芥末鸭掌 松茸粉丝娃娃菜,108,8.3,8.6,8.2,847,116.5247,39.929825
陈阿婆鱼火锅(永定路店) 分店,/shop/584518,584518,火锅,海淀区永定路28号 68187172,鱼火锅 五棵松,梭边鱼 虾滑 鸭血,57,8.7,8.3,8.4,845,116.271255,39.92643
咖啡茶自助餐厅,/shop/507618,507618,自助餐,海淀区紫竹院路29号北京香格里拉饭店景阁1楼 68412211-6715,自助餐 紫竹桥,龙虾 甜品 三文鱼,428,8.3,9,8.6,842,116.31503,39.950127
东来顺饭庄(大栅栏店) 分店,/shop/3546289,3546289,火锅,西城区大栅栏7号吉龙老栅栏商城2楼 63165836,涮羊肉 前门,涮羊肉 羊上脑 肥牛,82,8.6,8.6,8.3,842,116.403854,39.90249
金百万烤鸭店(顺义店) 分店,/shop/510723,510723,北京菜,顺义区顺义区府前西街10号 51160000,烤鸭 婚宴酒店,烤鸭 水煮鱼 宫保鸡丁,63,8.2,8.2,8,840,116.65451,40.135983
洪湖传扬餐厅,/shop/1965808,1965808,湖北菜,朝阳区西大望路3号蓝堡国际公寓南区2楼 85997313,湘菜 湖北菜 大望路,干锅千叶豆腐 洪湖紫江奇味鱼 干锅牛蛙,49,8.2,7.9,8,840,116.48317,39.91726
海底捞火锅(翠微路店) 分店,/shop/3539215,3539215,火锅,海淀区翠微路12号凯德MALL购物中心4楼 68218532,其他火锅 公主坟/万寿路,虾滑 滑牛肉 鸭血,90,9.2,9,9.4,840,116.30935,39.91842
海碗居(松榆里店) 分店,/shop/510666,510666,小吃快餐,朝阳区松榆南路36号 87313518,炸酱面 劲松/潘家园,炸酱面 灌肠 爆肚,49,8.1,7.6,8,835,116.48179,39.876736
西贝西北菜(亦庄店) 分店,/shop/1962835,1962835,西北菜,大兴区旧宫镇旧宫二村三台山路16号 87609698,西北菜 婚宴酒店 旧宫 亦庄,羊肉串 功夫鱼 酸奶,83,8.4,8.5,8.5,834,116.478836,39.81497
汉丽轩烤肉超市(三元桥店) 分店,/shop/3130960,3130960,自助餐,朝阳区曙光西里甲10号楼苏宁电器3楼 64668399,自助餐 韩国料理 亮马桥/三元桥,培根 五花肉 水果,46,6.9,6.3,6.8,832,116.45505,39.96803
九头鸟酒家(航天桥店) 分店,/shop/510418,510418,湖北菜,海淀区西三环中路航天西招院内1楼 68489278,湖北菜 婚宴酒店 航天桥,莲藕排骨 黄豆猪手 清蒸武昌鱼,59,7.5,6.8,6.8,830,116.31619,39.928776
松本楼日式烧肉(中关村店) 分店,/shop/2761243,2761243,日本,海淀区北四环西路甲2号辽宁大厦1楼 84648558,日式烧烤/铁板烧 日式自助 中关村,上等牛舌 特选上等牛小排 三文鱼刺身,215,8.5,8.7,8.3,828,116.3439,39.99054
兄弟川菜(簋街旗舰店) 分店,/shop/4562848,4562848,小吃快餐 川菜,东城区东直门内大街199-201号 64013636,川菜 烧烤 东直门,泉水牛蛙 毛血旺 水煮鱼,77,9,8.6,8.6,827,116.43082,39.946934
红太阳美食生态园(来广营店) 分店,/shop/509204,509204,北京菜,朝阳区来广营新北路9号 84916222-2588,农家菜 婚宴酒店 望京,蜂窝玉米 大丰收 烤鲈鱼,77,6.6,8.4,7.2,826,116.45478,40.03144
德川家日本料理(中关村店) 分店,/shop/508336,508336,日本,海淀区中关村南大街甲12号寰太大厦2楼 62109096,日式自助 魏公村,烤鳗鱼 三文鱼 北极贝,159,7.3,7.8,7.1,825,116.330185,39.964977
香草香草云南原生态火锅(宇飞店) 分店,/shop/6427802,6427802,火锅,东城区东直门外大街42号宇飞大厦2楼 64178988,其他火锅 婚宴酒店 东直门,鲜花虾滑 手切蝴蝶泉乳羊肉 菌王奇香锅,93,9.2,9,9.1,824,116.44412,39.94668
九头鹰酒家(地坛店) 分店,/shop/507980,507980,湖北菜,东城区安定门外大街71号 84114888,湖北菜 婚宴酒店 安定门,珍珠圆子 热干面 莲藕排骨,48,8.1,7.7,7.9,822,116.41406,39.96376
猫眼餐厅(志新店) 分店,/shop/512835,512835,西餐,海淀区二里庄南口志新路3号 82376150,比萨 五道口,金枪鱼沙拉 PIZZA 超级至尊,44,7.2,7,6.6,821,116.375916,40.000103
苗乡楼(金源店) 分店,/shop/513012,513012,贵州菜,海淀区远大路1号金源新燕莎MALL5楼5-19号 88872994,贵州菜 远大路,酸汤鱼 米豆腐 厥根粉,96,7,7.7,7.2,819,116.29804,39.96506
渝信川菜(京泰店) 分店,/shop/508382,508382,川菜,朝阳区建国门外大街24号京泰大厦1楼 65156588,川菜 建外大街,水煮鱼 毛血旺 川北凉粉,80,8.5,8.2,8,818,116.4465,39.912952
王家渡火锅店(棕榈泉店) 分店,/shop/2893654,2893654,火锅,朝阳区朝阳公园南路8号棕榈泉生活广场3楼 65398098,其他火锅 朝阳公园/团结湖,番茄锅底 虾滑 嫩牛肉,113,8.4,8.9,8.7,816,116.48521,39.938274
蓝钻国际美食自助百汇(石景山店) 分店,/shop/5239639,5239639,自助餐,石景山区鲁谷路74号瑞达大厦3楼 68607555,自助餐 婚宴酒店 鲁谷,生鱼片 菲力牛排 冰激凌,163,8.8,9,9.1,816,116.25169,39.90888
四川孙鲶鱼(北土城店) 分店,/shop/508739,508739,川菜,海淀区北土城西路牡丹园小区对面 62386604,川菜 婚宴酒店 北太平庄,麻辣鲶鱼 家常鲶鱼 炝炒圆白菜,83,8.2,6.2,6.4,815,116.38432,39.98262
芝麻花(健德桥店) 分店,/shop/512076,512076,北京菜,海淀区健德桥北祁家豁子小区百安居南侧胡同内 62007022,家常菜 北太平庄,贵州嫩鸡 雀皮肘子 罐焖羊肉,48,8.4,6.4,7.4,814,116.39293,39.98301
呀咪咖喱屋(中关村店) 分店,/shop/3264178,3264178,西餐,海淀区中关村大街15号家乐福B2楼 51721776,西式简餐 中关村,黄咖喱 红咖喱 猪排饭,31,7.2,8,7,814,116.322685,39.986443
红莲烤鸭店(红莲北里店) 分店,/shop/510524,510524,北京菜,西城区广安门外红莲北里甲11号 63263335,烤鸭 广外大街,烤鸭 精品烤鸭 宫保鸡丁,56,7.9,6.9,6.7,814,116.34071,39.890854
日进,/shop/4665606,4665606,小吃快餐 川菜,朝阳区工体北路8号院三里屯SOHO 3号商场3楼315室 56149966,烧烤 川菜 三里屯,烤鱼 芒果绵绵冰 烤鸡翅,94,8.8,8.8,9,813,116.46014,39.93811
齐海鱼圣,/shop/3712981,3712981,火锅,朝阳区四惠桥东通惠河畔南岸环岛处 87706767,其他火锅 大望路,石斑鱼丸 石斑鱼汤 葱油饼,76,9,9,9.1,813,116.49595,39.914257
大贵,/shop/515448,515448,贵州菜,东城区交道口大兴胡同69号 64071800,贵州菜 婚宴酒店 东四,蜂窝煤 酸汤鱼 炒汤圆,88,7.2,7.3,7.4,813,116.41667,39.944138
南门涮肉(河边店) 分店,/shop/2001757,2001757,火锅,东城区安定门外东河沿乙9号楼 84242533,涮羊肉 安定门,鲜羊肉 小料 糖蒜,74,8.9,7.9,8.2,812,116.41811,39.95662
青年餐厅(六里桥店) 分店,/shop/561447,561447,北京菜,丰台区华源1街4号楼 63334099,家常菜 婚宴酒店 六里桥/丽泽桥,烤鸭 青年拌菜 毛血旺,65,7.8,8.4,7.9,809,116.32292,39.888123
花家怡园(世茂大厦店) 分店,/shop/2655271,2655271,北京菜,朝阳区建国路甲92号世茂大厦3楼 51283329,家常菜 婚宴酒店 国贸,霸王鸡 花家白菜 烤鸭,120,8.5,9,8.8,809,116.477844,39.91334
没名儿生煎(小西天店) 分店,/shop/5257179,5257179,小吃快餐,西城区小西天文慧园路3号 4008965880,其他小吃 新街口,生煎 灌汤包 生煎包,19,8.2,8.1,8.1,808,116.37692,39.95891
东北虎风味食街(三元桥店),/shop/509825,509825,东北菜,朝阳区东三环南小街6号楼 64685258,东北菜 婚宴酒店 亮马桥/三元桥,东北大拉皮 锅包肉 酸菜汆白肉,48,8,6.7,6.8,808,116.464455,39.960613
扇子餐厅,/shop/4660143,4660143,海鲜,朝阳区神路街39号楼日坛上街1-20号 85628350,创意菜 海鲜 朝外大街,芝士焗龙虾 金枪鱼沙拉 醉鸡,139,8,8.7,8.6,806,116.45045,39.924442
真功夫(新世界店) 分店,/shop/1971490,1971490,小吃快餐,东城区崇文门外大街新世界商场1楼 67092413,快餐/简餐 崇文门,乌鸡汤 香菇鸡腿饭 花旗参竹丝鸡汤,26,7.2,7,7,805,116.42452,39.904198
新沸腾鱼乡(世贸天阶店) 分店,/shop/2672002,2672002,川菜,朝阳区光华路9号世贸天阶北街4楼西侧 65895588,川菜 建外大街,水煮鱼 馋嘴蛙 毛血旺,148,8.1,8.9,8,804,116.457664,39.922493
老冯烤羊蝎子馆(鼓楼西大街店) 分店,/shop/5522111,5522111,火锅,西城区鼓楼西大街206号 13717785323,羊蝎子 什刹海 地安门,烤羊蝎子 红柳烤肉 烤鸡翅,70,9.1,6.8,7.4,801,116.38731,39.95402
金百万烤鸭店(万柳店) 分店,/shop/2770243,2770243,北京菜,海淀区万泉河路小南庄400号龙都宾馆院内 62527588,烤鸭 家常菜 苏州桥,烤鸭 狮子头 宫保鸡丁,62,8.5,8.5,8.5,801,116.30978,39.971653
新辣道鱼火锅(欧美汇店) 分店,/shop/3570217,3570217,火锅,海淀区中关村丹棱街甲1号欧美汇购物中心F5-02 82484493,鱼火锅 中关村,梭边鱼 徐妈豆腐 土贡梅煎,84,8.6,8.4,8,799,116.32168,39.985226
木屋烧烤(台湾街店) 分店,/shop/5328185,5328185,小吃快餐,石景山区鲁谷路雕塑公园南门台湾街宝岛夜市 68647507,烧烤 鲁谷,烤扇贝 烤生蚝 羊肉串,64,8.7,8.5,8.3,799,116.25736,39.910023
乐蛙蛙(中关村店) 分店,/shop/4170897,4170897,川菜,海淀区通惠寺3号巴比伦酒店3楼 62555757,川菜 中关村,金牌稻香蛙 馋嘴蛙 烤蛙,69,8.6,8.3,8.3,799,116.31794,39.98229
聚点串吧(东直门店) 分店,/shop/3296761,3296761,小吃快餐,东城区东直门内大街5-3号 63035678,烧烤 东直门,烤串 鸡脆骨 大拌菜,62,8.5,8.3,8.2,798,116.4369,39.947292
老万记麻辣烫(国展老店) 分店,/shop/1970962,1970962,小吃快餐,朝阳区西坝河东里三元大厦北边300米 84510330,麻辣烫 左家庄,麻辣烫 酸辣粉 烤馒头片,36,8.3,6.3,6.4,797,116.45387,39.971546
三角猫比萨(77街店) 分店,/shop/2020993,2020993,西餐,西城区西单77街地下美食街B1楼 66039156,比萨 西单,至尊 金枪鱼沙拉 新奥尔良烤翅,42,6,6.6,6.3,794,116.37929,39.916798
金波亭章鱼烧,/shop/3126838,3126838,小吃快餐,东城区南锣鼓巷90号 15801207597,其他小吃 安定门,章鱼烧 鲷鱼烧 热狗,19,8.4,7.8,8.1,792,116.409645,39.942783
正宗潮州牛肉丸火锅,/shop/508513,508513,火锅,朝阳区农展馆南里11号 59191567,其他火锅 亮马桥/三元桥,牛肉丸 炸腐竹 沙茶酱,67,8.1,6.6,6.7,791,116.47031,39.939735
眉州东坡酒楼(中日店) 分店,/shop/510771,510771,川菜,朝阳区樱花东街甲4号 64208188,川菜 婚宴酒店 对外经贸,东坡肘子 眉州香肠 东坡肉,61,8.1,7.3,7.6,791,116.43176,39.978615
旺顺阁鱼头泡饼店(魏公村店) 分店,/shop/4115715,4115715,北京菜,海淀区中关村南大街甲18号北京国际大厦A座1楼 52711502,家常菜 粤菜 魏公村,鱼头泡饼 蓝莓山药 酸奶,103,8.6,8.7,8.3,790,116.33096,39.959213
俏江南(国贸中心店) 分店,/shop/508232,508232,川菜,朝阳区建国门外大街1号国贸大厦西楼2楼L220号 65050809,川菜 婚宴酒店 国贸 建外大街,江石滚肥牛 麻酱油麦菜 水煮鱼,162,7.9,8.5,8.3,788,116.46482,39.91807
辣尚瘾(航天桥店) 分店,/shop/5237709,5237709,川菜,海淀区阜成路23号 68988511,烤鱼 香锅 航天桥,麻辣香锅 香辣烤鱼 蓝莓山药,54,9,8.7,8.8,786,116.32296,39.930412
川成元麻辣香锅(富力广场店) 分店,/shop/2535682,2535682,川菜,朝阳区东三环中路65号富力广场南区3楼323号 59037388,香锅 双井,青笋 午餐肉 金针菇,74,8.5,8.2,8,783,116.46757,39.90093
羲和雅苑烤鸭坊(燕莎桥店) 分店,/shop/3430600,3430600,北京菜,朝阳区新源南路1号都汇天地商场3楼302号 59761355,烤鸭 婚宴酒店 亮马桥/三元桥,烤鸭 张氏狮子头 井冈山豆皮,119,9.2,9.3,9.1,782,116.467575,39.95615
品诺意大利餐厅(中关村店) 分店,/shop/585142,585142,西餐,海淀区北四环西路52号方正大厦1楼 51722902,意大利菜 中关村,肉酱多利亚饭 罗马风味烤鸡腿 PIZZA,40,6.7,7.1,6.5,782,116.322815,39.997692
渝信川菜(工体店) 分店,/shop/508386,508386,川菜,朝阳区春秀路幸福一村西里甲5号 64158168,川菜 三里屯,水煮鱼 毛血旺 馋嘴蛙,77,8.4,8.3,8,781,116.4523,39.9421
辣婆婆(航天桥店) 分店,/shop/511682,511682,川菜,海淀区恩济里18号 88115143,川菜 婚宴酒店 航天桥,水煮鱼 香辣蟹 香辣虾,93,8.2,8.2,7.8,777,116.29422,39.933033
燕莎巫山烤全鱼 分店,/shop/2002519,2002519,火锅,朝阳区东三环燕莎桥向东安家楼口内 64615726,重庆火锅 亮马桥/三元桥,香辣烤鱼 豆豉烤鱼 蕨根粉,62,8,6.9,6.5,776,116.470505,39.958675
羊大爷涮肉坊(西苑店) 分店,/shop/512487,512487,火锅,海淀区万泉河路12号 62653878,涮羊肉 颐和园,涮羊肉 大白菜 羊肉,60,7.8,6.8,6.7,774,116.30222,40.001617
