name,url,id,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
必胜宅急送(惠新店) 分店,/shop/571778,571778,西餐,朝阳区惠新西街23号 4008123123,比萨 对外经贸,PIZZA 批萨 焗饭,48,7.3,7.6,8.1,141,116.4235,39.987682
重庆朝天门火锅(虎坊桥店) 分店,/shop/10022941,10022941,火锅,西城区珠市口西大衔临10号 83157878,重庆火锅 虎坊桥,鸭肠 鲜鸭血 秘制酥肉,74,8.6,8.4,8.6,140,116.404465,39.897705
渝都家厨(右安门店) 分店,/shop/2185783,2185783,川菜,西城区右安门内西街甲2-2号 63564420,川菜 右安门,香辣烤鱼 宫保鸡丁 豆豉烤鱼,42,8.2,6.4,6.7,140,116.36964,39.878826
双林大酒楼,/shop/566760,566760,川菜,海淀区清华东路 62330131,川菜 五道口,水煮鱼 烤鸭 水煮鲶鱼,36,6.5,6,6,140,116.35017,40.006737
三元梅园(北土城店) 分店,/shop/561689,561689,小吃快餐,海淀区北土城西路塔院小区南门 62056657,老北京小吃 北太平庄,双皮奶 原味奶酪 杏仁豆腐,13,7.7,6.7,6.9,140,116.36754,39.9826
桥香园过桥米线(天通苑店) 分店,/shop/2511205,2511205,小吃快餐,昌平区天通苑西大门 84822798,云南菜 粉面馆 天通苑,米线 藕片 糖醋小排,24,7.1,7.2,7,140,116.43136,40.070854
千汇丰渝州干锅鸭头(翠屏店),/shop/2834458,2834458,川菜,通州区翠屏北里西区商-3号 57182008,川菜 梨园,干锅鸭头 鸭头 老鸭汤,62,8.8,7.9,7.8,140,116.65052,39.896004
胖伙计特色烤鱼风味火锅,/shop/6137870,6137870,川菜 火锅,海淀区北蜂窝中路65号 63967024,烤鱼 火锅 公主坟/万寿路,烤鱼 麻辣烤鱼 麻辣香锅,46,7.8,7,7.9,140,116.33383,39.90585
面香居(朝阳大悦城店) 分店,/shop/4060381,4060381,小吃快餐,朝阳区朝阳北路大悦城8楼 85526280,快餐/简餐 十里堡,香辣面 石锅烤牛肉 牛肉面,27,6.6,7,7.4,140,116.52402,39.930817
猫眼餐厅(现代城店) 分店,/shop/3042703,3042703,西餐,朝阳区建国路88号SOHO现代城西侧 85894380,比萨 大望路,匹萨 金枪鱼沙拉 鸡翅,39,7.5,7.1,7,140,116.48375,39.913002
京味斋(望京阜通店) 分店,/shop/2801890,2801890,小吃快餐 北京菜,朝阳区望京阜通东大街金兴路6号 13522872801,家常菜 炸酱面 望京,炸酱面 麻豆腐 炸灌肠,36,7.1,6.9,6.9,140,116.48209,39.992496
筋头巴脑碳火涮肉,/shop/5274314,5274314,火锅,东城区北锣鼓巷8号 84022350,其他火锅 安定门,筋头巴脑 没有 板筋,42,6.9,6.1,6.4,140,116.40933,39.95426
甲鱼餐厅,/shop/2236252,2236252,北京菜,朝阳区金盏乡北马房700号 84327831,农家菜 朝阳其它,烤全羊 甲鱼汤 菜团子,141,8.4,8.4,8.1,140,116.588036,39.996014
和你槑玩槑了(新中关购物中心店) 分店,/shop/4679132,4679132,小吃快餐,海淀区中关村大街19号新中关购物中心地下夹层 ,零食 食品茶酒 中关村,梅方片 梅门儿 梅莓,22,8.6,8.3,8.3,140,116.3212,39.98426
高记麻辣烫,/shop/3438658,3438658,小吃快餐,东城区北新桥路口 64033365,麻辣烫 安定门,麻辣烫 凉面 鱼豆腐,23,8.3,7.1,7.7,140,116.48023,39.93465
都一处烧麦馆(首地大峡谷店) 分店,/shop/6247587,6247587,北京菜,丰台区南三环西路16号首地大峡谷购物中心4楼 87576201,家常菜 草桥,三鲜馅烧麦 京味爆三样 京门焦溜丸子,67,7.1,8.1,7.8,140,116.372734,39.860146
东来顺饭庄(金泉广场店) 分店,/shop/3498235,3498235,火锅,朝阳区大屯北路312号金泉美食宫2楼02号 64897888,涮羊肉 婚宴酒店 亚运村,羊肉 烧饼 羊肉丸,100,8.2,8.7,8.5,140,116.418686,40.012352
比格比萨(立水桥店) 分店,/shop/4291091,4291091,西餐 自助餐,昌平区立汤路188号北方明珠2楼 58607150,比萨 自助餐 天通苑,鸡翅 蛋挞 披萨,49,7,7.3,7.3,140,116.42173,40.062366
巴贝拉(天时名苑店) 分店,/shop/5584842,5584842,西餐,通州区华联天时名苑购物中心1-2楼 56351898,西式简餐 新华大街,披萨 至尊披萨 鸡翅,47,5.6,7,6.4,140,116.64271,39.910168
三元梅园(红莲店) 分店,/shop/512326,512326,小吃快餐,西城区广安门外红莲北里11号楼 63479536,老北京小吃 广外大街,双皮奶 奶酪 杏仁豆腐,14,7.7,6.5,6.7,139,116.340775,39.89054
全善福褡裢火烧(光明路店),/shop/2359507,2359507,小吃快餐,东城区光明路12号 67120361,老北京小吃 左安门,褡裢火烧 棒子面粥 炸灌肠,23,7.4,6,6.5,139,116.4454,39.889935
南锣烤鱼,/shop/2422534,2422534,川菜,东城区南锣鼓巷27号 64035845,烤鱼 地安门 什刹海,烤鱼 没有 烤翅,63,5.2,4.3,5.1,139,116.40979,39.9456
南来顺爆肚店,/shop/2365078,2365078,小吃快餐,西城区珠市口西大街19号 63022953,老北京小吃 前门,爆肚 肚仁 烧饼,76,7.8,7.2,7.6,139,116.394684,39.896225
麦当劳(东方广场店) 分店,/shop/2663809,2663809,小吃快餐,东城区东长安街1号东方广场东方新天地1楼 85186843,快餐/简餐 王府井/东单,巨无霸 麦乐鸡 麦辣鸡翅,21,6.9,7,6.6,139,116.419,39.91572
金紫银平价海鲜城(梨园店) 分店,/shop/3186295,3186295,海鲜,通州区梨园南小街红绿灯东北角 81574655,海鲜 婚宴酒店 梨园,扇贝 清蒸鲈鱼 鲍鱼捞饭,139,8.1,8.8,8.7,139,116.68379,39.884724
黄记煌三汁焖锅(太阳宫凯德MALL... 分店,/shop/6116080,6116080,火锅 海鲜,朝阳区太阳宫中路12号凯德MALL04-28号铺 84150564,其他火锅 海鲜 亮马桥/三元桥,鮰鱼锅 泡饼 鮰鱼焖锅,68,8.1,8.5,8.1,139,116.45659,39.98098
疯狂抄手(魏公村店) 分店,/shop/3179071,3179071,小吃快餐,海淀区魏公村街1号韦伯豪东北侧 15311670733,其他小吃 魏公村,疯狂抄手 三鲜抄手 清汤抄手,12,8,7,7.8,139,116.32852,39.960663
永泰福朋喜来登酒店宜客乐餐厅,/shop/2723113,2723113,自助餐,海淀区远大路25号永泰福朋喜来登酒店1座 88898888,自助餐 远大路,甜点 三文鱼 北极贝,204,7.9,8.4,8.6,138,116.286,39.963905
信和轩酒楼,/shop/515196,515196,北京菜,朝阳区惠新里1区38号楼 64939976,烤鸭 婚宴酒店 对外经贸,烤鸭 蟹黄豆腐 京酱肉丝,53,7.7,7.6,7.5,138,116.427284,39.986286
鲜花椒精致家常菜,/shop/13855369,13855369,北京菜,朝阳区北京市朝阳区花家地阜通东大街30号 64736006,家常菜 望京,鲜花椒跳水鱼 延庆豆腐煨牛腩 橄榄油大拌菜,51,8.2,8.6,8.5,138,116.47678,39.987904
五大粥餐厅,/shop/3559399,3559399,小吃快餐,海淀区颐和园路8号畅春园食街内街1楼A19号 ,粥店 颐和园,干煸豆角 小米粥 金牌馅饼,35,7,6.6,6.7,138,116.31094,39.994747
赛百味(三里屯店) 分店,/shop/512252,512252,西餐,朝阳区三里屯北街7号友谊超级商场内 84544910,西式简餐 三里屯,金枪鱼三明治 牛肉丸三明治 蔬菜三明治,22,8.6,8.4,8.7,138,116.461876,39.94913
麦当劳(富力广场店) 分店,/shop/2647594,2647594,小吃快餐,朝阳区东三环中路65号富力广场B01-C31号 59037300,快餐/简餐 双井,薯条 麦辣鸡腿汉堡 双层吉士汉堡,26,7.9,7.8,7.8,138,116.467514,39.89955
六道院特色烤全羊,/shop/3667063,3667063,小吃快餐 北京菜,朝阳区大山子东黑桥艺术区六道2号 64313103,烧烤 农家菜 望京,烤全羊 排骨豆角焖卷子 烤羊腿,103,8.2,8.2,8,138,116.5411,40.002796
老诚一锅(回龙观店) 分店,/shop/2045020,2045020,火锅,昌平区育知西路回龙观风雅园二区 81727533,羊蝎子 回龙观,羊蝎子 冻豆腐 宽粉,48,7.8,6.8,7,138,116.32809,40.08744
金筷子川菜城(京滨店),/shop/508643,508643,川菜,西城区阜成门外大街24号京滨宾馆1楼 68582233-2216,川菜 阜成门,水煮鱼 宫保鸡丁 毛血旺,58,7.5,6.6,6.3,138,116.35018,39.928455
灰哥鸡排(东四店) 分店,/shop/6716836,6716836,小吃快餐,东城区东四北大街237号 56141369,其他小吃 东四,香酥鸡排 甘梅地瓜 盐酥鸡,14,8.5,8.2,8.5,138,116.42341,39.93865
好伦哥(杨闸环岛店) 分店,/shop/4527308,4527308,自助餐,朝阳区朝阳路朗廷大厦1-2楼 65735673,自助餐 管庄,鸡翅 水果 披萨,49,7.1,8,7.8,138,116.605316,39.917458
汉堡王(远洋未来广场店) 分店,/shop/8848880,8848880,西餐,朝阳区北四环东路73号远洋未来广场1楼 84445511,西式简餐 亚运村,皇堡 薯条 甜筒冰激凌,30,8.9,8.8,8.8,138,116.46161,39.92119
呷哺呷哺(新东安店) 分店,/shop/3272860,3272860,火锅,东城区王府井大街138号新东安商场5楼516 ,其他火锅 王府井/东单,麻酱小料 豆皮 金针菇,42,8.2,7.8,7.9,138,116.41812,39.92147
在河上湖北私房菜餐厅,/shop/6135447,6135447,湖北菜,朝阳区朝阳门外大街甲6号万通中心C座2楼 59071916,湖北菜 朝外大街,珍珠丸子 豆腐乳 河上腊香肠,55,8.5,8.3,8.6,137,116.46371,39.925148
袁姑妈小馆(北苑路店),/shop/1997950,1997950,北京菜,朝阳区北苑路六塔群房商业二段A部 84805177,家常菜 婚宴酒店 亚运村,烤鱼 生煎牛柳 铁板鸡,41,7.4,7.1,7.4,137,116.423004,40.019733
一品三笑(惠新西街店) 分店,/shop/2810740,2810740,小吃快餐,朝阳区惠新西街23号 64919053,快餐/简餐 亚运村,卤肉饭 牛腩饭 云吞面,20,7.1,7.7,7.2,137,116.42351,39.988136
秀水二号会所,/shop/2091619,2091619,北京菜 日本,朝阳区东大桥路14号 65911409,官府菜 日式烧烤/铁板烧 建外大街,河豚 李鸿章大杂烩 鹅肝,174,7.5,8.1,7.7,137,116.457794,39.918556
